"subject","predicate","object","direction","evidence","sentence","article","network"
"MCCC2","interacts with","MDH1","right","positive",,,"Pathway Commons"
"MDH2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MDH2","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MDH2","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MDH2","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MDH2","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MDH2","interacts with","TPM1","right","positive",,,"Pathway Commons"
"LYPLA1","interacts with","HK2","right","positive",,,"Pathway Commons"
"LYPLA1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"LYPLA1","interacts with","MDH1","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LSAMP","interacts with","TPM1","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","FLNB","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","S100A6","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"AP2B1","interacts with","LYN","right","positive",,,"Pathway Commons"
"MARCKS","interacts with","DDX17","right","positive",,,"Pathway Commons"
"MARCKS","interacts with","GLTP","right","positive",,,"Pathway Commons"
"MARCKS","interacts with","PTPRE","right","positive",,,"Pathway Commons"
"YWHAE","in same component","CSNK1E","right","positive",,,"Pathway Commons"
"YWHAE","in same component","CSNK1D","right","positive",,,"Pathway Commons"
"YWHAE","in same component","TUBA4A","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","EFNB1","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","EPHA2","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","HIST1H1E","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","SFN","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","TOP1","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"YWHAE","interacts with","CDCP1","right","positive",,,"Pathway Commons"
"YWHAE","reacts with","CSNK1E","right","positive",,,"Pathway Commons"
"YWHAE","reacts with","CSNK1D","right","positive",,,"Pathway Commons"
"YWHAE","reacts with","TUBA4A","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","HK2","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","MDH1","right","positive",,,"Pathway Commons"
"ACADM","interacts with","MAP7D1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","CANX","right","positive",,,"Pathway Commons"
"MCL1","interacts with","CASP12","right","positive",,,"Pathway Commons"
"MCL1","interacts with","BID","right","positive",,,"Pathway Commons"
"MCL1","interacts with","COL3A1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","HSPBP1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","CIAPIN1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","KRT10","right","positive",,,"Pathway Commons"
"MCL1","interacts with","PFKFB3","right","positive",,,"Pathway Commons"
"MCL1","interacts with","GNB4","right","positive",,,"Pathway Commons"
"MCL1","interacts with","LDHB","right","positive",,,"Pathway Commons"
"MCL1","interacts with","LGALS3BP","right","positive",,,"Pathway Commons"
"MCL1","interacts with","LMNA","right","positive",,,"Pathway Commons"
"MCL1","interacts with","MEGF8","right","positive",,,"Pathway Commons"
"MCL1","interacts with","MT3","right","positive",,,"Pathway Commons"
"MCL1","interacts with","MT2","right","positive",,,"Pathway Commons"
"MCL1","interacts with","PLCE1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","PRDX1","right","positive",,,"Pathway Commons"
"MCL1","interacts with","PPP6C","right","positive",,,"Pathway Commons"
"MCL1","interacts with","APP","right","positive",,,"Pathway Commons"
"MCL1","interacts with","RPLP2","right","positive",,,"Pathway Commons"
"MCL1","interacts with","ATP2A2","right","positive",,,"Pathway Commons"
"MCL1","interacts with","SNAP91","right","positive",,,"Pathway Commons"
"MCL1","interacts with","ATP5O","right","positive",,,"Pathway Commons"
"MCL1","interacts with","SSPO","right","positive",,,"Pathway Commons"
"MCL1","interacts with","TAB2","right","positive",,,"Pathway Commons"
"MCL1","interacts with","TPM3","right","positive",,,"Pathway Commons"
"MCL1","interacts with","TNFRSF1B","right","positive",,,"Pathway Commons"
"MCL1","interacts with","TNFRSF1A","right","positive",,,"Pathway Commons"
"MCL1","interacts with","TNF","right","positive",,,"Pathway Commons"
"MCL1","interacts with","VIM","right","positive",,,"Pathway Commons"
"MCL1","interacts with","HIVEP2","right","positive",,,"Pathway Commons"
"MCL1","interacts with","BAG5","right","positive",,,"Pathway Commons"
"MCL1","interacts with","CASP3","right","positive",,,"Pathway Commons"
"AP4E1","interacts with","PPBP","right","positive",,,"Pathway Commons"
"AP4E1","interacts with","ITGA2","right","positive",,,"Pathway Commons"
"AP4E1","interacts with","CDCP1","right","positive",,,"Pathway Commons"
"MINK1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MINK1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MINK1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MINK1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MINK1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MINK1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAGI3","interacts with","TGFA","right","positive",,,"Pathway Commons"
"MAPK3","interacts with","HK2","right","positive",,,"Pathway Commons"
"MAPK3","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MAPK3","interacts with","MDH1","right","positive",,,"Pathway Commons"
"GAA","interacts with","HK2","right","positive",,,"Pathway Commons"
"GAA","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"GAA","interacts with","MDH1","right","positive",,,"Pathway Commons"
"MEGF8","interacts with","MCL1","right","positive",,,"Pathway Commons"
"ACTN1","in same component","SDC4","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","FLNB","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","S100A6","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"ACTN1","interacts with","MDH1","right","positive",,,"Pathway Commons"
"ACTN1","reacts with","SDC4","right","positive",,,"Pathway Commons"
"MAP2","interacts with","DDX17","right","positive",,,"Pathway Commons"
"MAP2","interacts with","GLTP","right","positive",,,"Pathway Commons"
"MAP2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAP2","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAP2","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAP2","interacts with","PTPRE","right","positive",,,"Pathway Commons"
"MAP2","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAP2","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAP2","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MIC1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MIC1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MIC1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MIC1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MIC1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MIC1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LRRC59","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAP6","interacts with","DDX17","right","positive",,,"Pathway Commons"
"MAP6","interacts with","GLTP","right","positive",,,"Pathway Commons"
"MAP6","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAP6","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAP6","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAP6","interacts with","PTPRE","right","positive",,,"Pathway Commons"
"MAP6","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAP6","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAP6","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","HK2","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","MDH1","right","positive",,,"Pathway Commons"
"MAD2L1","interacts with","TOR1AIP1","right","positive",,,"Pathway Commons"
"MBP","interacts with","NDRG1","right","positive",,,"Pathway Commons"
"MBP","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"TFAP2B","interacts with","HIST1H2AC","right","positive",,,"Pathway Commons"
"MIB2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MTDH","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MTDH","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MTDH","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MTDH","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MTDH","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MTDH","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAT2B","interacts with","DDX17","right","positive",,,"Pathway Commons"
"MAT2B","interacts with","GLTP","right","positive",,,"Pathway Commons"
"MAT2B","interacts with","PTPRE","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","PRNP","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","STX1A","right","positive",,,"Pathway Commons"
"SLC25A11","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAP3K1","interacts with","HRAS","right","positive",,,"Pathway Commons"
"MAG","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAG","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAG","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAG","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAG","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAG","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAPRE2","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAP1B","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MDH2","interacts with","HK2","right","positive",,,"Pathway Commons"
"MDH2","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MDH2","interacts with","MDH1","right","positive",,,"Pathway Commons"
"LRP1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LRP1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LRP1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LRP1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LRP1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LRP1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MCCC1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LRRC7","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ADAM28","interacts with","LYN","right","positive",,,"Pathway Commons"
"MTDH","interacts with","HK2","right","positive",,,"Pathway Commons"
"MTDH","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MTDH","interacts with","MDH1","right","positive",,,"Pathway Commons"
"MIF","interacts with","HK2","right","positive",,,"Pathway Commons"
"MIF","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MIF","interacts with","MDH1","right","positive",,,"Pathway Commons"
"MARK2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MARK2","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MARK2","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MARK2","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MARK2","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MARK2","interacts with","TPM1","right","positive",,,"Pathway Commons"
"AP2A2","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"AP2A2","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"AP2A2","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"AP2A2","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"AP2A2","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MED28","interacts with","MED25","right","positive",,,"Pathway Commons"
"MECR","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MECR","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MECR","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MECR","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MECR","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MECR","interacts with","TPM1","right","positive",,,"Pathway Commons"
"LPAR2","interacts with","ARHGEF11","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MAP1A","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ADK","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"ADK","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"ADK","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ADK","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"ADK","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ADK","interacts with","LYN","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","PRNP","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","STX1A","right","positive",,,"Pathway Commons"
"ATF7IP","interacts with","TPM1","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LPHN1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ADAP2","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MED25","interacts with","RXRA","right","positive",,,"Pathway Commons"
"MACF1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"MACF1","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"MACF1","interacts with","PRNP","right","positive",,,"Pathway Commons"
"MACF1","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"MACF1","interacts with","STX1A","right","positive",,,"Pathway Commons"
"MACF1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"MGRN1","interacts with","HK2","right","positive",,,"Pathway Commons"
"MGRN1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"MGRN1","interacts with","MDH1","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","PRNP","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","STX1A","right","positive",,,"Pathway Commons"
"LPPR4","interacts with","TPM1","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","PLXNA2","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","PRNP","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","DNAJC6","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","STX1A","right","positive",,,"Pathway Commons"
"PPAP2B","interacts with","TPM1","right","positive",,,"Pathway Commons"
"APP","interacts with","FOS","right","positive",,,"Pathway Commons"
"APP","interacts with","PRNP","right","positive",,,"Pathway Commons"
"APP","interacts with","TGFB2","right","positive",,,"Pathway Commons"
"AOAH","interacts with","FN1","right","positive",,,"Pathway Commons"
"AOAH","interacts with","PNMA2","right","positive",,,"Pathway Commons"
"ADCY7","in same component","TCF7L2","right","positive",,,"Pathway Commons"
"ADCY7","reacts with","TCF7L2","right","positive",,,"Pathway Commons"
"SLC25A6","interacts with","KLF5","right","positive",,,"Pathway Commons"
"SLC25A6","interacts with","NDRG1","right","positive",,,"Pathway Commons"
"SLC25A6","interacts with","SMURF2","right","positive",,,"Pathway Commons"
"SLC25A6","interacts with","TNRC6B","right","positive",,,"Pathway Commons"
"AKAP2","interacts with","SKP2","right","positive",,,"Pathway Commons"
"AKAP2","interacts with","SERPINB5","right","positive",,,"Pathway Commons"
"SLC1A5","interacts with","ITGA2","right","positive",,,"Pathway Commons"
"AAK1","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"AAK1","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"AAK1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"AAK1","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"AAK1","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"AAK1","interacts with","LYN","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","FLNB","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","S100A6","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ABLIM3","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"AR","co control","EGR1","right","positive",,,"Pathway Commons"
"AR","co control","PIAS1","right","positive",,,"Pathway Commons"
"AR","interacts with","PIAS1","right","positive",,,"Pathway Commons"
"AR","reacts with","TCF7L2","right","positive",,,"Pathway Commons"
"AR","state change","HRAS","right","positive",,,"Pathway Commons"
"ACTBL2","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ACTBL2","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"ACTBL2","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ACTBL2","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","FLNB","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","NDRG1","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","S100A6","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","TPM1","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"AP2M1","interacts with","LYN","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","FLNB","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","HIST1H1E","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","S100A6","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","TPM1","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"ANXA2","interacts with","LYN","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","ITGA2","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","SMURF2","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","SMTN","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ACTA1","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ALPK3","interacts with","LYN","right","positive",,,"Pathway Commons"
"LPA","interacts with","FN1","right","positive",,,"Pathway Commons"
"ANAPC4","interacts with","SKP2","right","positive",,,"Pathway Commons"
"ANAPC4","interacts with","SERPINB5","right","positive",,,"Pathway Commons"
"ANAPC4","interacts with","TOR1AIP1","right","positive",,,"Pathway Commons"
"RAD17","interacts with","ITPR3","right","positive",,,"Pathway Commons"
"RAD17","interacts with","SOCS1","right","positive",,,"Pathway Commons"
"RAD17","interacts with","MAP7D1","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ACVR1B","interacts with","LYN","right","positive",,,"Pathway Commons"
"ARHGAP17","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"ARHGAP17","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"ARHGAP17","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"ARHGAP17","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"RBBP6","interacts with","PIAS1","right","positive",,,"Pathway Commons"
"RAP1B","interacts with","SMURF2","right","positive",,,"Pathway Commons"
"TAF15","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"TAF15","interacts with","HIST1H1E","right","positive",,,"Pathway Commons"
"TAF15","interacts with","MFAP2","right","positive",,,"Pathway Commons"
"MRPL41","interacts with","SMURF2","right","positive",,,"Pathway Commons"
"AKAP12","interacts with","ADRB2","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","FAM83A","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","KIAA0528","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","CSNK1E","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","CSNK1D","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"PRKAB2","interacts with","LYN","right","positive",,,"Pathway Commons"
"R3HCC1","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
"R3HCC1","interacts with","HIST1H1E","right","positive",,,"Pathway Commons"
"RAB1A","interacts with","NOLC1","right","positive",,,"Pathway Commons"
"RAB1A","interacts with","SRRM2","right","positive",,,"Pathway Commons"
"RAB1A","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"MRPL45","interacts with","FLNB","right","positive",,,"Pathway Commons"
"RBM23","interacts with","TUBA4A","right","positive",,,"Pathway Commons"
"PRKAG1","interacts with","KCNN4","right","positive",,,"Pathway Commons"
"RNF111","interacts with","SMURF2","right","positive",,,"Pathway Commons"
"RPL9","interacts with","PIAS1","right","positive",,,"Pathway Commons"
"RNF128","co control","FOS","right","positive",,,"Pathway Commons"
"QPCTL","interacts with","TNRC6B","right","positive",,,"Pathway Commons"
"QPCTL","interacts with","TNRC6A","right","positive",,,"Pathway Commons"
"RAD23A","interacts with","FLNB","right","positive",,,"Pathway Commons"
"RPL30","interacts with","FLNB","right","positive",,,"Pathway Commons"
"RPL30","interacts with","HNRNPH1","right","positive",,,"Pathway Commons"
