"","subject","predicate","object","direction","evidence","sentence","article","network"
"4398","PDGFA","functional_interaction","SHC1","right","positive","","","Functional Interaction"
"17173","NOLC1","interacts with","POLR1E","right","positive","","","Pathway Commons"
"16075","GPC1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"2949","GNGT2","functional_interaction","IL8","right","positive","","","Functional Interaction"
"34688","TOMM34","interacts with","DDX17","right","positive","","","Pathway Commons"
"410","ATF2","functional_interaction","PTGS2","right","positive","","","Functional Interaction"
"29961","PRNP","interacts with","MYO5A","right","positive","","","Pathway Commons"
"31996","BCAR3","interacts with","EFNB1","right","positive","","","Pathway Commons"
"36625","CDCP1","interacts with","CKAP4","right","positive","","","Pathway Commons"
"15299","LPAR2","interacts with","SPTLC2","right","positive","","","Pathway Commons"
"20429","MDH1","interacts with","RAB31","right","positive","","","Pathway Commons"
"23479","ALK","interacts with","ITPR3","right","positive","","","Pathway Commons"
"33176","ARPC1B","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"3717","ITGB1","functional_interaction","NOLC1","right","positive","","","Functional Interaction"
"20060","PSMA1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"29663","PLD3","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"23419","SHKBP1","interacts with","SKP2","right","positive","","","Pathway Commons"
"29878","PRNP","interacts with","IQSEC2","right","positive","","","Pathway Commons"
"38455","secretin","causes","FOS","right","positive","Recent evidence suggests that intravenous infusion of secretin causes fos activation in NTS, a relay station playing important roles in the central regulation of autonomic functions. ","PubMed:14715495","Medline Abstracts"
"22828","S100A6","interacts with","EIF4A3","right","positive","","","Pathway Commons"
"38059","La","induced","LIF","right","positive","In comparison to peripheral blood, the LA induced LIF production by pleural fluid lymphocytes was significantly enhanced in patients with nonspecific pleural effusion and significantly reduced in patients with malignant disease. ","PubMed:7050387","Medline Abstracts"
"34982","TPM1","interacts with","LIN7B","right","positive","","","Pathway Commons"
"16781","NAV3","interacts with","POLE2","right","positive","","","Pathway Commons"
"25624","TSC22D1","interacts with","MMS19","right","positive","","","Pathway Commons"
"6552","HNRNPH1","interacts with","HADHA","right","positive","","","Pathway Commons"
"12586","ERO1L","interacts with","S100A6","right","positive","","","Pathway Commons"
"32522","DNAJC6","interacts with","CDK5RAP3","right","positive","","","Pathway Commons"
"19369","PDPK1","interacts with","KIAA0528","right","positive","","","Pathway Commons"
"17180","NOLC1","interacts with","SF3B1","right","positive","","","Pathway Commons"
"21880","RNF152","interacts with","UBE2W","right","positive","","","Pathway Commons"
"31178","PSMD14","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"32440","BMPR1A","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"12013","HNRNPH1","interacts with","ARRB2","right","positive","","","Pathway Commons"
"33436","SKP1","interacts with","HK2","right","positive","","","Pathway Commons"
"4226","MYD88","functional_interaction","TLR4","right","positive","","","Functional Interaction"
"36686","CDCP1","interacts with","KPNB1","right","positive","","","Pathway Commons"
"33517","STXBP1","interacts with","PTPRE","right","positive","","","Pathway Commons"
"27016","TPM1","interacts with","rpL23","right","positive","","","Pathway Commons"
"21615","RPL18","interacts with","ITPR3","right","positive","","","Pathway Commons"
"34135","STX1A","interacts with","ODZ4","right","positive","","","Pathway Commons"
"16527","MYO1C","interacts with","SRRM2","right","positive","","","Pathway Commons"
"2394","FGF3","functional_interaction","FGFR2","right","positive","","","Functional Interaction"
"32347","ATXN10","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"15794","CSNK1D","interacts with","ACOX3","right","positive","","","Pathway Commons"
"5991","HK2","interacts with","CAPRIN1","right","positive","","","Pathway Commons"
"36449","MATR3","interacts with","FLNB","right","positive","","","Pathway Commons"
"26828","TIA1","interacts with","RICTOR","right","positive","","","Pathway Commons"
"38414","SKP2","interacts with","p57Kip2","right","positive","Coimmunoprecipitation analysis also revealed that Skp2 interacts with p57Kip2 in vivo. ","PubMed:12925736","Medline Abstracts"
"24851","SMAD2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"11676","HNRNPH1","interacts with","IRS4","right","positive","","","Pathway Commons"
"3229","HRAS","functional_interaction","PDGFB","right","positive","","","Functional Interaction"
"3664","ITGA2","functional_interaction","LOC392787","right","positive","","","Functional Interaction"
"1479","CSNK1D","functional_interaction","GSK3B","right","positive","","","Functional Interaction"
"20847","MIF","interacts with","HK2","right","positive","","","Pathway Commons"
"23436","SFRS3","interacts with","DDX17","right","positive","","","Pathway Commons"
"18492","AP3D1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"15261","LPAR2","interacts with","ELF1","right","positive","","","Pathway Commons"
"30684","UACA","interacts with","S100A6","right","positive","","","Pathway Commons"
"3987","LRP8","functional_interaction","MAPK8","right","positive","","","Functional Interaction"
"2676","FOS","functional_interaction","IFNA8","right","positive","","","Functional Interaction"
"26374","PDLIM1","interacts with","HK2","right","positive","","","Pathway Commons"
"14730","LIMA1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"16299","GLTP","interacts with","STXBP1","right","positive","","","Pathway Commons"
"27596","TOP1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"26731","TUBB","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"20559","MDH1","interacts with","TUBB2B","right","positive","","","Pathway Commons"
"24278","SNAP29","reacts with","STX1A","right","positive","","","Pathway Commons"
"28018","TMEM109","interacts with","ITPRIP","right","positive","","","Pathway Commons"
"30145","PRNP","interacts with","SLC4A4","right","positive","","","Pathway Commons"
"37715","CANX","interacts with","TPM1","right","positive","","","Pathway Commons"
"38449","TNF-alpha","decreased","CCL20","right","positive","TNF-alpha increased and anti-TNF-alpha decreased CCL20 release in healthy control CEC but not in involved IBD colonic specimens. ","PubMed:14997037","Medline Abstracts"
"32746","DNAJC6","interacts with","NCAM1","right","positive","","","Pathway Commons"
"1684","CTSG","functional_interaction","PPBP","right","positive","","","Functional Interaction"
"11192","GNAO1","interacts with","TPM1","right","positive","","","Pathway Commons"
"30055","PRNP","interacts with","AIFM1","right","positive","","","Pathway Commons"
"10510","DLG1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"28441","TUBA4A","interacts with","PTCH2","right","positive","","","Pathway Commons"
"5482","CASP12","interacts with","MCL1","right","positive","","","Pathway Commons"
"35455","LYN","interacts with","FGR","right","positive","","","Pathway Commons"
"2436","FGFR2","functional_interaction","PIK3R3","right","positive","","","Functional Interaction"
"14777","MYBPC3","interacts with","SMURF2","right","positive","","","Pathway Commons"
"27141","TNRC6B","interacts with","EMD","right","positive","","","Pathway Commons"
"4247","NAPB","functional_interaction","STX1A","right","positive","","","Functional Interaction"
"28324","TUBA4A","interacts with","CSNK1A1L","right","positive","","","Pathway Commons"
"21804","RCC2","interacts with","ITPR3","right","positive","","","Pathway Commons"
"14926","CSNK1E","in same component","PRKAR2B","right","positive","","","Pathway Commons"
"34602","MAPK1","interacts with","TOB1","right","positive","","","Pathway Commons"
"12757","EXOC7","interacts with","STX1A","right","positive","","","Pathway Commons"
"18174","CSNK1E","interacts with","TMOD2","right","positive","","","Pathway Commons"
"35337","TPM3","interacts with","STX1A","right","positive","","","Pathway Commons"
"16584","NDUFA10","interacts with","NOLC1","right","positive","","","Pathway Commons"
"28519","TUBA4A","interacts with","RPLP0","right","positive","","","Pathway Commons"
"15354","KLC2","interacts with","SFN","right","positive","","","Pathway Commons"
"7989","DVL3","in same component","TCF7L2","right","positive","","","Pathway Commons"
"5049","ZNF136","functional_interaction","ZNF273","right","positive","","","Functional Interaction"
"28965","PPP1CC","interacts with","HK2","right","positive","","","Pathway Commons"
"3405","IL13RA2","functional_interaction","PTPN6","right","positive","","","Functional Interaction"
"38389","IL-10","induces","SOCS1","right","positive","In this report, we show that, in addition to SOCS3 expression, IL-10 induces SOCS1 up-regulation in all cell lines tested, including Ba/F3 pro-B cells, MC/9 mast cells, M1 leukemia cells, U3A human fibroblasts, and primary mouse CD4(+) T cells. ","PubMed:12538698","Medline Abstracts"
"24640","SPTAN1","interacts with","MDH1","right","positive","","","Pathway Commons"
"18105","CSNK1E","interacts with","SEPT2","right","positive","","","Pathway Commons"
"761","CCL20","functional_interaction","CCR8","right","positive","","","Functional Interaction"
"26421","ACTN4","interacts with","PRNP","right","positive","","","Pathway Commons"
"1335","COL6A1","functional_interaction","PDGFA","right","positive","","","Functional Interaction"
"26416","ACACA","interacts with","PRNP","right","positive","","","Pathway Commons"
"33114","AMPH","interacts with","STX1A","right","positive","","","Pathway Commons"
"15166","CSNK1E","interacts with","MAPK3","right","positive","","","Pathway Commons"
"21162","ACTC1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"20860","AP2A2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"38831","PRS","enhances","FOS","right","positive","This study shows that PRS enhances Fos protein expression induced by CRD at the spinal and supraspinal levels in rats. ","PubMed:19309441","Medline Abstracts"
"22607","SDC4","in same component","ACTN1","right","positive","","","Pathway Commons"
"32485","DNAJC6","interacts with","BASP1","right","positive","","","Pathway Commons"
"11911","HNRNPH1","interacts with","SF3b1","right","positive","","","Pathway Commons"
"25778","SRRM2","interacts with","IGF2BP2","right","positive","","","Pathway Commons"
"24558","SKP2","interacts with","TRIM29","right","positive","","","Pathway Commons"
"26199","OPA1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"27635","TOP1","interacts with","PSMA5","right","positive","","","Pathway Commons"
"32135","BCL6","co control","HMGA1","right","positive","","","Pathway Commons"
"2850","GATA3","functional_interaction","JUNB","right","positive","","","Functional Interaction"
"10288","FOSL1","interacts with","JUN","right","positive","","","Pathway Commons"
"37284","CEP57","in same component","TUBA4A","right","positive","","","Pathway Commons"
"23521","SF3B2","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"29247","PLXNA2","interacts with","LIME1","right","positive","","","Pathway Commons"
"1680","CTNNA3","functional_interaction","MMP14","right","positive","","","Functional Interaction"
"26868","TOB1","interacts with","SETDB1","right","positive","","","Pathway Commons"
"33156","ATP2B2","interacts with","STX1A","right","positive","","","Pathway Commons"
"14434","IL23A","metabolic catalysis","IL24","right","positive","","","Pathway Commons"
"7812","CDK5RAP3","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"24679","SNAP25","interacts with","STX1A","right","positive","","","Pathway Commons"
"15757","CSNK1D","interacts with","HRNR","right","positive","","","Pathway Commons"
"8795","ELK1","metabolic catalysis","EGR1","right","positive","","","Pathway Commons"
"20639","MDH2","interacts with","STX1A","right","positive","","","Pathway Commons"
"29206","PLXNA2","interacts with","GRIA1","right","positive","","","Pathway Commons"
"10886","HNRNPD","in same component","HNRNPH1","right","positive","","","Pathway Commons"
"32845","DNAJC6","interacts with","AIFM1","right","positive","","","Pathway Commons"
"17514","NQO2","interacts with","LYN","right","positive","","","Pathway Commons"
"30317","THBS1","reacts with","SDC4","right","positive","","","Pathway Commons"
"37898","GDF15","contributes to","hepcidin","right","positive","Instead, these results suggest that GDF15 contributes to hepcidin suppression and iron overloading in the pathological setting of ineffective erythropoiesis as originally proposed. ","DOI:10.1155/2010/358283,PubMed Central:2868182,PubMed:20467559","Pubmed Open-Access Full Texts"
"26850","TOB1","interacts with","CNOT3","right","positive","","","Pathway Commons"
"11686","HNRNPH1","interacts with","LBR","right","positive","","","Pathway Commons"
"20948","ACTBL2","interacts with","NOLC1","right","positive","","","Pathway Commons"
"23861","SNRPF","interacts with","DDX17","right","positive","","","Pathway Commons"
"27758","TOP1","interacts with","ARHGEF2","right","positive","","","Pathway Commons"
"332","ARHGAP4","functional_interaction","HRAS","right","positive","","","Functional Interaction"
"2647","FN1","functional_interaction","VTN","right","positive","","","Functional Interaction"
"31974","AURKB","interacts with","FAM83A","right","positive","","","Pathway Commons"
"19992","PER1","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"25666","AARS","interacts with","MDH1","right","positive","","","Pathway Commons"
"17231","NOLC1","interacts with","VDAC2","right","positive","","","Pathway Commons"
"27525","TOP1","interacts with","FBXW7","right","positive","","","Pathway Commons"
"4106","MAPK3","functional_interaction","TNFRSF10A","right","positive","","","Functional Interaction"
"13648","IL1B","reacts with","TOLLIP","right","positive","","","Pathway Commons"
"19651","P4HB","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"13860","ITGA2","interacts with","CROT","right","positive","","","Pathway Commons"
"12942","KIAA0528","interacts with","INPPL1","right","positive","","","Pathway Commons"
"31793","BOK","interacts with","MCL1","right","positive","","","Pathway Commons"
"7657","CUX1","interacts with","CCNA1","right","positive","","","Pathway Commons"
"2634","FN1","functional_interaction","SDC3","right","positive","","","Functional Interaction"
"16177","GOSR1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"22666","SH3GL3","interacts with","ITPR3","right","positive","","","Pathway Commons"
"17209","NOLC1","interacts with","TARDBP","right","positive","","","Pathway Commons"
"6338","HK2","interacts with","ANXA1","right","positive","","","Pathway Commons"
"22005","HNRNPA1","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"8424","EPHA2","interacts with","CAMK2A","right","positive","","","Pathway Commons"
"18367","AASS","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"5101","ZNF251","functional_interaction","ZNF273","right","positive","","","Functional Interaction"
"34888","TPM1","interacts with","EIF3D","right","positive","","","Pathway Commons"
"510","BLK","functional_interaction","EPHA4","right","positive","","","Functional Interaction"
"34308","SUPT6H","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"20236","MDH1","interacts with","GPI","right","positive","","","Pathway Commons"
"20152","MDH1","interacts with","CHP","right","positive","","","Pathway Commons"
"25161","SRP9","interacts with","FLNB","right","positive","","","Pathway Commons"
"29165","PLXNA2","interacts with","EXOC7","right","positive","","","Pathway Commons"
"25726","SRRM2","interacts with","FRYL","right","positive","","","Pathway Commons"
"10454","DDAH2","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"9315","FN1","interacts with","PHC3","right","positive","","","Pathway Commons"
"12721","EPS15L1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"5602","HAPLN1","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"16433","PPP1R12A","interacts with","FLNB","right","positive","","","Pathway Commons"
"13618","CHUK","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"33385","SCFD1","interacts with","MDH1","right","positive","","","Pathway Commons"
"8740","EGR1","interacts with","CEBPB","right","positive","","","Pathway Commons"
"17506","MYB","metabolic catalysis","ATP2B1","right","positive","","","Pathway Commons"
"32962","DNAJC6","interacts with","SUCLA2","right","positive","","","Pathway Commons"
"25616","TSC22D1","interacts with","MAGED2","right","positive","","","Pathway Commons"
"22961","S100A6","interacts with","TPM1","right","positive","","","Pathway Commons"
"18067","CSNK1E","interacts with","Rpn2","right","positive","","","Pathway Commons"
"728","CBL","functional_interaction","SPRY4","right","positive","","","Functional Interaction"
"33465","SEPT4","interacts with","GLTP","right","positive","","","Pathway Commons"
"28917","TUBA4A","reacts with","ALMS1","right","positive","","","Pathway Commons"
"32997","DNAJC6","interacts with","VPS41","right","positive","","","Pathway Commons"
"8905","ERBB2","reacts with","EREG","right","positive","","","Pathway Commons"
"572","BMPR2","functional_interaction","PPP1R15A","right","positive","","","Functional Interaction"
"13835","ITGA2","interacts with","IGKC","right","positive","","","Pathway Commons"
"15596","LRRC59","interacts with","FOS","right","positive","","","Pathway Commons"
"3047","HIST1H2AC","functional_interaction","HIST2H2AC","right","positive","","","Functional Interaction"
"34917","TPM1","interacts with","GABBR2","right","positive","","","Pathway Commons"
"24859","SPG20","interacts with","SMURF2","right","positive","","","Pathway Commons"
"9495","GAPDH","interacts with","MDH1","right","positive","","","Pathway Commons"
"9031","CSNK2A1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"5658","CEP250","in same component","TUBA4A","right","positive","","","Pathway Commons"
"5902","CAST","interacts with","STX1A","right","positive","","","Pathway Commons"
"10522","DDX17","interacts with","CAPZA2","right","positive","","","Pathway Commons"
"29724","PRNP","interacts with","CLIP2","right","positive","","","Pathway Commons"
"29418","PLXNA2","interacts with","RGS7","right","positive","","","Pathway Commons"
"28696","TUBA4A","interacts with","CCT8","right","positive","","","Pathway Commons"
"19507","PIAS1","interacts with","DCLRE1A","right","positive","","","Pathway Commons"
"21526","PTX3","interacts with","C3","right","positive","","","Pathway Commons"
"16925","NOLC1","interacts with","DKC1","right","positive","","","Pathway Commons"
"33753","STX1A","interacts with","HSP90B1","right","positive","","","Pathway Commons"
"31171","RALA","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"34920","TPM1","interacts with","GABRA1","right","positive","","","Pathway Commons"
"8939","DBN1","interacts with","SRRM2","right","positive","","","Pathway Commons"
"14731","LIN7C","interacts with","ABCA1","right","positive","","","Pathway Commons"
"11017","HIPK1","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"28796","TUBA4A","interacts with","ARPC5L","right","positive","","","Pathway Commons"
"7420","CTCF","interacts with","NAV3","right","positive","","","Pathway Commons"
"14549","AHSG","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"19080","PDIA3","interacts with","ITGA2","right","positive","","","Pathway Commons"
"7525","CTNNB1","interacts with","NDRG1","right","positive","","","Pathway Commons"
"27874","TCF7L2","interacts with","JUP","right","positive","","","Pathway Commons"
"15603","KCTD3","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"18475","SERPINB2","reacts with","PLAUR","right","positive","","","Pathway Commons"
"21293","RAVER1","interacts with","TOB1","right","positive","","","Pathway Commons"
"16398","NUFIP2","interacts with","FLNB","right","positive","","","Pathway Commons"
"31931","C1QBP","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"19702","PRDX1","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"8850","E2F1","interacts with","SKP2","right","positive","","","Pathway Commons"
"13437","HSP90AB1","interacts with","SFN","right","positive","","","Pathway Commons"
"36277","MAP7D1","interacts with","VBP1","right","positive","","","Pathway Commons"
"38091","FOS","inhibits","NF","right","positive","Antisera to Fos inhibits NF-AT DNA binding as does an oligonucleotide containing a binding site for AP1. ","PubMed:8428966","Medline Abstracts"
"26332","HIBADH","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"28481","TUBA4A","interacts with","MBP","right","positive","","","Pathway Commons"
"38606","BMP2","downregulate","GREMLIN","right","positive","Consistent with this concentration-dependent effect, we find that low concentrations of Bmp2 upregulate Gremlin while high concentrations of Bmp2 downregulate Gremlin in limb mesenchyme cultures. ","PubMed:16989805","Medline Abstracts"
"1395","CPSF7","functional_interaction","HNRNPH1","right","positive","","","Functional Interaction"
"16917","NOLC1","interacts with","DNAH3","right","positive","","","Pathway Commons"
"35432","LYN","interacts with","EPOR","right","positive","","","Pathway Commons"
"16843","NAV3","interacts with","MTA3","right","positive","","","Pathway Commons"
"38","ABCB1","functional_interaction","EGR1","right","positive","","","Functional Interaction"
"38717","IL-18","stimulated","PI3","right","positive","Investigation of signaling intermediates revealed that IL-18 stimulated PI3 kinase activity (blocked by wortmannin, LY294002, or Ad.dnPI3Kp85), and Akt phosphorylation and kinase activity (blocked by SH-5 or Ad.dnAkt). ","PubMed:18064631","Medline Abstracts"
"35081","TPM1","interacts with","ORC1L","right","positive","","","Pathway Commons"
"22226","NDRG1","interacts with","TPT1","right","positive","","","Pathway Commons"
"31","ABCA1","functional_interaction","CSNK2B","right","positive","","","Functional Interaction"
"25787","SRRM2","interacts with","SYK","right","positive","","","Pathway Commons"
"16626","MYD88","in same component","IL1B","right","positive","","","Pathway Commons"
"12960","KIAA0528","interacts with","TEC","right","positive","","","Pathway Commons"
"22425","SLC25A3","interacts with","STX1A","right","positive","","","Pathway Commons"
"35465","LYN","interacts with","GNAI1","right","positive","","","Pathway Commons"
"31312","PYGB","interacts with","PRNP","right","positive","","","Pathway Commons"
"20317","MDH1","interacts with","NME2","right","positive","","","Pathway Commons"
"28156","TUBA4A","interacts with","DGKE","right","positive","","","Pathway Commons"
"3230","HRAS","functional_interaction","PDGFRA","right","positive","","","Functional Interaction"
"16025","GSTP1","interacts with","MDH1","right","positive","","","Pathway Commons"
"9354","FN1","interacts with","SPEF2","right","positive","","","Pathway Commons"
"24109","NTM","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"18442","OXSR1","interacts with","FTSJ1","right","positive","","","Pathway Commons"
"33763","STX1A","interacts with","SLC1A2","right","positive","","","Pathway Commons"
"10912","HIST1H1C","interacts with","SRRM2","right","positive","","","Pathway Commons"
"38105","LIGHT","induction of","FOS","right","positive","We found that the administration of sodium pentobarbital prevented light induction of Fos expression in the SCN, whereas the administration of urethane did not. ","PubMed:8280907","Medline Abstracts"
"34067","STX1A","interacts with","SNAP91","right","positive","","","Pathway Commons"
"32193","BCL6","interacts with","EIF4ENIF1","right","positive","","","Pathway Commons"
"31949","PYCARD","interacts with","CASP1","right","positive","","","Pathway Commons"
"18702","MTPAP","interacts with","TRAF4AF1","right","positive","","","Pathway Commons"
"25128","SPEG","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"14182","KIAA0802","interacts with","PNMA1","right","positive","","","Pathway Commons"
"16940","NOLC1","interacts with","FLOT2","right","positive","","","Pathway Commons"
"23067","SFN","interacts with","FHL2","right","positive","","","Pathway Commons"
"1815","CXCL5","functional_interaction","GNG8","right","positive","","","Functional Interaction"
"18517","PCBP2","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"8347","EPHA1","interacts with","SOCS1","right","positive","","","Pathway Commons"
"19218","PNMA2","interacts with","LTBP4","right","positive","","","Pathway Commons"
"22212","NDRG1","interacts with","RUVBL1","right","positive","","","Pathway Commons"
"19740","SF3B14","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"20453","MDH1","interacts with","RPS12","right","positive","","","Pathway Commons"
"33528","NAPA","interacts with","TPM1","right","positive","","","Pathway Commons"
"33715","STX1A","interacts with","CASK","right","positive","","","Pathway Commons"
"7565","DHX36","interacts with","MFAP2","right","positive","","","Pathway Commons"
"13514","IRS2","co control","BCL6","right","positive","","","Pathway Commons"
"13126","ITPR3","interacts with","PPP1R9B","right","positive","","","Pathway Commons"
"29704","PRNP","interacts with","CACNA1A","right","positive","","","Pathway Commons"
"10172","FAM83A","interacts with","TAOK1","right","positive","","","Pathway Commons"
"1800","CXCL5","functional_interaction","GNAZ","right","positive","","","Functional Interaction"
"16344","PIGK","interacts with","TPM1","right","positive","","","Pathway Commons"
"8921","EPHB2","interacts with","KIAA0528","right","positive","","","Pathway Commons"
"2336","ETV4","functional_interaction","PLAUR","right","positive","","","Functional Interaction"
"20653","AP2B1","interacts with","KIAA0528","right","positive","","","Pathway Commons"
"38263","urocortin","induced","FOS","right","positive","Neither CRF nor urocortin induced Fos expression in the lateral septal nucleus, Edinger-Westphal nucleus, dorsal raphe nucleus, locus coeruleus, or hypoglossal nucleus. ","PubMed:10650129","Medline Abstracts"
"8439","EPHA2","interacts with","PKP2","right","positive","","","Pathway Commons"
"26197","PDK2","interacts with","MDH1","right","positive","","","Pathway Commons"
"28483","TUBA4A","interacts with","ABLIM3","right","positive","","","Pathway Commons"
"16346","GRIA1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"38253","SCF","activates","LYN","right","positive","Here we show that SCF activates Lyn a second time, hours later, during SCF-induced cell cycle progression. ","PubMed:10432313","Medline Abstracts"
"35974","MED25","interacts with","RNPS1","right","positive","","","Pathway Commons"
"31284","RICH2","interacts with","DDX17","right","positive","","","Pathway Commons"
"1232","COL27A1","functional_interaction","ITGB6","right","positive","","","Functional Interaction"
"13526","ILF3","interacts with","NDRG1","right","positive","","","Pathway Commons"
"18044","CSNK1E","interacts with","RAB8A","right","positive","","","Pathway Commons"
"28675","TUBA4A","interacts with","STARD13","right","positive","","","Pathway Commons"
"13847","ITGA2","interacts with","ITGB1","right","positive","","","Pathway Commons"
"36883","MXD1","in same component","RBBP7","right","positive","","","Pathway Commons"
"4962","TNFRSF10B","functional_interaction","TRAF2","right","positive","","","Functional Interaction"
"30103","PRNP","interacts with","ARHGEF7","right","positive","","","Pathway Commons"
"7241","CTAGE5","interacts with","FN1","right","positive","","","Pathway Commons"
"10896","HNRNPH2","interacts with","FLNB","right","positive","","","Pathway Commons"
"32089","BATF3","reacts with","FOS","right","positive","","","Pathway Commons"
"9673","FLNB","interacts with","MYO3B","right","positive","","","Pathway Commons"
"20209","MDH1","interacts with","DNAJB11","right","positive","","","Pathway Commons"
"21110","RBM14","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"37861","TOP1","inhibition by","CPT","left","positive","Therefore, Top1 inhibition by CPT may promote a supercoiling imbalance locally at promoters, which may then interfere with the regulation of Pol II pausing at promoter-proximal sites. ","PubMed:19854946,PubMed Central:2800211,Other:gkp817,DOI:10.1093/nar/gkp817","Pubmed Open-Access Full Texts,Medline Abstracts"
"23387","RPS14","interacts with","TPM1","right","positive","","","Pathway Commons"
"18595","PA1","interacts with","MLL3","right","positive","","","Pathway Commons"
"11603","HNRNPH1","interacts with","HNRNPL","right","positive","","","Pathway Commons"
"37250","CDK1","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"3636","ITGA1","functional_interaction","LAMA3","right","positive","","","Functional Interaction"
"24280","SSNA1","in same component","CSNK1D","right","positive","","","Pathway Commons"
"27192","TNRC6B","interacts with","RPL27","right","positive","","","Pathway Commons"
"33139","ACTR3","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"34808","TPM1","interacts with","SLC25A13","right","positive","","","Pathway Commons"
"4034","LYN","functional_interaction","PRKCQ","right","positive","","","Functional Interaction"
"1749","CXCL2","functional_interaction","GNG10","right","positive","","","Functional Interaction"
"8852","E2F1","interacts with","CCNA1","right","positive","","","Pathway Commons"
"4901","STX1A","functional_interaction","STX8","right","positive","","","Functional Interaction"
"33972","STX1A","interacts with","PDIA6","right","positive","","","Pathway Commons"
"2616","FN1","functional_interaction","NTN4","right","positive","","","Functional Interaction"
"8083","EFNB1","interacts with","TIAM1","right","positive","","","Pathway Commons"
"31314","PYGB","interacts with","STX1A","right","positive","","","Pathway Commons"
"2095","EGFR","functional_interaction","LPAR2","right","positive","","","Functional Interaction"
"11","LRP1","regulates","ABCA1","right","positive","Our goal was to investigate if and how LRP1 regulates ABCA1 functional expression and thereby cholesterol efflux in the vascular wall. ","DOI:10.1371/journal.pone.0006853,PubMed:19718435,Other:09-PONE-RA-10540R1,PubMed Central:2729921","Pubmed Open-Access Full Texts"
"37948","tumor suppressor","function of","KLF6","right","positive","Furthermore, KLF6-SV1 has been shown to be biologically active, antagonizing the tumor suppressor function of KLF6 and promoting tumor growth and dissemination in both ovarian and prostate cancer models. ","PubMed:19097929","Pubmed Open-Access Full Texts,Medline Abstracts"
"2976","GRB2","functional_interaction","SOCS1","right","positive","","","Functional Interaction"
"5438","CAPZB","interacts with","STX1A","right","positive","","","Pathway Commons"
"27433","TNFRSF10B","interacts with","MSN","right","positive","","","Pathway Commons"
"13623","IL1B","in same component","IRAK4","right","positive","","","Pathway Commons"
"26149","EPRS","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"20099","PSMA3","interacts with","TOP1","right","positive","","","Pathway Commons"
"3107","HNRNPH1","functional_interaction","POLR2K","right","positive","","","Functional Interaction"
"7794","CNKSR2","interacts with","TPM1","right","positive","","","Pathway Commons"
"23534","SEC16A","interacts with","KIAA0528","right","positive","","","Pathway Commons"
"6998","PPBP","interacts with","FGA","right","positive","","","Pathway Commons"
"3970","LPAR2","functional_interaction","TRIP6","right","positive","","","Functional Interaction"
"19472","PPP2CB","interacts with","CCNA1","right","positive","","","Pathway Commons"
"17701","CSNK1E","interacts with","FAM110A","right","positive","","","Pathway Commons"
"24236","BCKDHA","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"36938","CDK19","interacts with","MED25","right","positive","","","Pathway Commons"
